Korév,Nem,1980,1990,2001,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
48,férfi,65519,61840,71918,58606,59555,60486,63127,69253,72353,72943,72807,72277,73344,74350,88154,92020,88356
49,férfi,69837,63004,71953,56431,58477,59252,60243,62831,68727,71970,72797,72622,71821,72854,74097,87825,91637
50,férfi,66959,57938,74625,59638,56083,58073,59013,59929,62364,68347,71707,72553,72267,71497,72740,73758,87336
51,férfi,66612,56593,69970,61766,59254,55859,57820,58801,59567,62116,68214,71638,72205,71832,71037,72422,73374
52,férfi,64294,54649,68206,61341,61278,58675,55386,57376,58151,59101,61686,67817,70905,71531,71133,70544,71968
53,férfi,65285,53210,65136,63647,60823,60670,58173,54947,56780,57638,58799,61354,67162,70169,71436,70687,70033
54,férfi,67252,55192,56585,65218,63021,60036,60041,57583,54340,56215,57153,58377,60687,66353,69849,70937,70120
55,férfi,61510,55759,54833,72672,64479,62238,59348,59539,57002,53894,55768,56727,57810,60029,66321,69266,70300
56,férfi,64796,56432,61536,77493,71698,63657,61488,58616,58751,56332,53262,55179,55987,57030,59813,65655,68535
57,férfi,62313,55626,56051,79871,76383,70608,62707,60650,57790,57968,55638,52653,54463,55221,56451,59136,64874
58,férfi,61976,54652,56115,71662,78607,75296,69533,61818,59697,56972,57214,54992,51882,53541,54491,55850,58382
59,férfi,58033,57451,51524,62973,70458,77286,74084,68389,60810,58688,56119,56411,54146,50914,52934,53711,55051
60,férfi,51378,54638,52293,62223,61698,69062,75734,72575,66940,59489,57491,55122,55174,52899,49845,52155,52851
61,férfi,27790,53279,47157,62925,60932,60500,67750,74198,71113,65566,58271,56472,54007,53889,52213,48951,51183
62,férfi,27530,50565,45383,59051,61485,59510,59105,66214,72404,69328,63893,56872,54973,52315,52684,51156,48089
63,férfi,27930,50471,42934,56681,57568,59915,58134,57808,64579,70580,67576,62416,55457,53300,51388,51464,50092
64,férfi,35853,50903,41111,53251,55173,56126,58381,56693,56271,62829,68684,65901,60654,53772,52257,50192,50291
65,férfi,50173,45947,42026,45843,51889,53657,54641,56734,55046,54565,60926,66738,63932,58576,52599,50999,48950
66,férfi,49264,47323,41699,43165,44514,50284,51959,52923,54900,53302,52801,59079,64357,61368,57261,51100,49655
67,férfi,49070,44738,41135,47967,41705,43138,48811,50305,51226,53027,51536,51152,56994,61692,59951,55455,49537
68,férfi,45556,43615,40037,42967,46324,40395,41774,47292,48670,49371,51151,49764,49220,54605,60642,57867,53558
69,férfi,44024,39560,38172,42066,41463,44714,38971,40371,45599,46861,47506,49370,47834,47083,53657,58505,55857
70,férfi,41433,34064,39191,37884,40423,39850,43034,37481,38842,43787,45062,45707,47394,45513,45385,51616,56300
71,férfi,38339,17850,35579,36375,36315,38855,38204,41275,35937,37271,42046,43287,43748,45050,43905,43462,49592
72,férfi,34314,17369,33558,32224,34754,34667,37080,36421,39439,34146,35477,40192,41060,41316,42842,41954,41634
73,férfi,31292,16858,30668,30052,30529,33003,32957,35333,34589,37489,32372,33814,38031,38697,39515,40854,40087
74,férfi,27407,20372,29140,27442,28408,29029,31207,31284,33498,32833,35494,30828,32066,35746,36761,37542,38920
75,férfi,25176,27584,27984,25081,25830,26779,27412,29466,29550,31588,30995,33620,29059,30070,33939,34828,35602
76,férfi,23721,25909,24446,24506,23465,24207,25298,25699,27812,27744,29690,29206,31436,27023,28301,32031,32864
77,férfi,21613,24273,24162,23306,22867,21907,22616,23595,24058,25917,25951,27868,27217,29060,25277,26610,30110
78,férfi,18996,20849,21840,21975,21609,21132,20331,20918,21971,22257,24093,24173,25862,25068,27288,23584,24910
79,férfi,16969,18460,20067,20122,20248,19869,19502,18707,19241,20227,20447,22294,22191,23507,23479,25404,21996
80,férfi,14362,16428,17097,18213,18301,18505,18065,17680,17074,17603,18501,18821,20331,20136,21674,21688,23452
81,férfi,12038,13754,13636,17193,16395,16536,16748,16238,15946,15422,15912,16798,16884,18185,18269,19860,19926
82,férfi,9863,11024,6667,14870,15381,14681,14763,14964,14525,14267,13744,14310,15092,14981,16342,16555,17985
83,férfi,7678,9234,5955,12577,13152,13595,13018,13086,13305,12792,12626,12302,12583,13218,13340,14663,14888
84,férfi,6547,7245,5333,10480,10939,11481,11965,11390,11545,11695,11347,11295,10777,10963,11512,11807,13068
85,férfi,4900,5959,5701,9140,9041,9368,9891,10302,9865,9908,10016,9782,9629,9129,9527,10105,10401
86,férfi,4044,4855,6809,7812,7782,7655,7976,8420,8843,8418,8531,8580,8192,8066,7841,8225,8706
87,férfi,2873,3830,5589,6107,6516,6528,6423,6620,7127,7487,7185,7264,7171,6783,6739,6696,7040
88,férfi,2184,3053,4646,5414,5028,5342,5342,5239,5487,5849,6196,5965,5952,5805,5588,5631,5572
89,férfi,1607,2366,3508,4324,4358,4068,4346,4302,4183,4368,4653,5007,4777,4676,4736,4545,4677
90+,férfi,3850,4945,9579,10848,11609,12198,12624,12815,13340,13577,14000,14611,15670,16209,13109,13590,13947
0,nő,77461,59248,47362,42605,42459,42902,44674,44312,45829,45541,44848,44476,45078,45463,43512,42344,37688
1,nő,80242,59323,45313,43975,42713,43652,43293,45047,44225,45702,45180,44379,44206,44623,45763,43790,42517
2,nő,84341,60093,46620,47064,43957,42585,43607,43279,44931,44209,45617,45183,44423,44223,45989,45866,43867
3,nő,87245,61006,47475,48569,46999,43779,42478,43597,43215,44863,44180,45566,45161,44530,44545,46039,45893
4,nő,91100,61754,50483,47496,48455,46761,43671,42441,43499,43086,44734,44072,45577,45164,45083,44556,46030
5,nő,87176,59318,53711,49244,47424,48278,46760,43683,42332,43431,43038,44744,44099,45535,45992,45091,44551
6,nő,73990,60277,54948,47291,49214,47163,48079,46596,43528,42156,43238,42846,44683,44023,46592,45920,45106
7,nő,71792,62984,56193,45772,47199,48930,47003,47925,46386,43354,42016,43103,42773,44590,45800,46563,45938
8,nő,70764,67732,58271,45680,45669,46938,48790,47042,47876,46288,43230,41963,43082,42789,45655,45963,46587
9,nő,71389,70483,60898,46833,45483,45477,46799,48856,46916,47844,46228,43213,42070,43208,43505,45798,45993
10,nő,71792,75749,61296,46936,47112,46087,46267,47616,49537,47678,48574,47086,44105,42825,43943,43711,45902
11,nő,72427,79138,59588,47290,47200,47417,46415,46650,48022,49973,48131,49045,47592,44606,42592,44106,43752
12,nő,69396,83649,60059,45798,47605,47506,47785,46797,46955,48370,50299,48488,49499,48018,44007,42754,44109
13,nő,64074,86842,60519,47416,45942,47713,47627,47913,46765,46985,48369,50316,48543,49554,46315,44175,42775
14,nő,62592,92526,63563,48783,47596,46075,47912,47785,47884,46760,46936,48403,50421,48660,47797,46490,44222
15,nő,62005,88620,65566,53142,48805,47504,46069,47854,47576,47639,46571,46758,48266,50265,47267,48035,46547
16,nő,61758,73671,63059,56409,52923,48595,47386,45931,47568,47292,47359,46273,46435,47960,48353,47445,48122
17,nő,59895,71506,63596,57963,56148,52664,48409,47148,45579,47236,46927,47033,45860,46055,46832,48556,47618
18,nő,64463,69424,65324,58923,57823,55896,52548,48248,46950,45471,47187,46903,46869,45803,46934,47562,49264
19,nő,67619,70231,69717,60394,58746,57562,55800,52441,48168,47006,45662,47437,46919,47043,48497,47914,48422
20,nő,69596,70125,73046,62741,60208,58458,57371,55570,52313,48350,47334,45900,47360,47126,50547,49114,48410
